Evaluation,Model,Parameter,Accuracy
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, layers=6, neuron2=200, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=2, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, learning_rate=clr, neuron1=300",0.5887096852304474
1,ANN,"model=2, use_transfer_learning=True, layers=6, neuron2=200, learning_rate=clr, use_svm=False, neuron1=300",0.5887096734537232
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, use_svm=True, neuron2=200, layers=8, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, use_svm=False, neuron2=200, layers=8, neuron1=300",0.6451612771038086
1,ANN,"model=2, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, layers=8, neuron1=300",0.604838715685952
1,ANN,"model=2, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, layers=8, neuron1=300",0.6693548375079709
1,ANN,"learning_rate=decrease, neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, layers=3, use_transfer_learning=True, use_svm=False, neuron2=100, model=3",0.6451612771038086
1,ANN,"neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=100, layers=3, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, use_transfer_learning=True, layers=6, use_svm=False, neuron2=100, model=3",0.6451612771038086
1,ANN,"neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=100, use_transfer_learning=True, layers=6, use_svm=False, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, layers=8, use_transfer_learning=True, use_svm=True, neuron2=100, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, layers=8, use_transfer_learning=True, use_svm=False, neuron2=100, model=3",0.6451612771038086
